date,cases,deaths,county,fips,confirmed_cases,confirmed_deaths,new_confirmed_cases,new_deaths
1/26/2020,0,0,Alameda,1,0,0,,
1/31/2020,0,0,Alameda,1,0,0,0,0
2/2/2020,0,0,Alameda,1,0,0,0,0
2/20/2020,0,0,Alameda,1,0,0,0,0
2/21/2020,0,0,Alameda,1,0,0,0,0
2/26/2020,0,0,Alameda,1,0,0,0,0
2/28/2020,0,0,Alameda,1,0,0,0,0
2/29/2020,0,0,Alameda,1,0,0,0,0
3/1/2020,2,0,Alameda,1,1,0,1,0
3/2/2020,1,0,Alameda,1,1,0,0,0
3/3/2020,3,0,Alameda,1,2,0,1,0
3/4/2020,2,0,Alameda,1,2,0,0,0
3/5/2020,2,0,Alameda,1,2,0,0,0
3/6/2020,4,0,Alameda,1,3,0,1,0
3/7/2020,3,0,Alameda,1,3,0,0,0
3/8/2020,3,0,Alameda,1,3,0,0,0
3/9/2020,3,0,Alameda,1,3,0,0,0
3/10/2020,7,0,Alameda,1,5,0,2,0
3/11/2020,5,0,Alameda,1,5,0,0,0
3/12/2020,13,0,Alameda,1,9,0,4,0
3/13/2020,9,0,Alameda,1,9,0,0,0
3/14/2020,11,0,Alameda,1,10,0,1,0
3/15/2020,26,0,Alameda,1,18,0,8,0
3/16/2020,24,0,Alameda,1,21,0,3,0
3/17/2020,39,0,Alameda,1,30,0,9,0
3/18/2020,38,0,Alameda,1,34,0,4,0
3/19/2020,42,0,Alameda,1,38,0,4,0
3/20/2020,62,0,Alameda,1,50,0,12,0
3/21/2020,92,0,Alameda,1,71,0,21,0
3/22/2020,139,0,Alameda,1,105,0,34,0
3/23/2020,139,2,Alameda,1,122,1,17,1
3/24/2020,148,3,Alameda,1,135,2,13,1
3/25/2020,135,2,Alameda,1,135,2,0,0
3/26/2020,221,6,Alameda,1,178,4,43,2
3/27/2020,262,4,Alameda,1,220,4,42,0
3/28/2020,292,8,Alameda,1,256,6,36,2
3/29/2020,284,8,Alameda,1,270,7,14,1
3/30/2020,296,7,Alameda,1,283,7,13,0
3/31/2020,343,7,Alameda,1,313,7,30,0
4/1/2020,405,9,Alameda,1,359,8,46,1
4/2/2020,433,10,Alameda,1,396,9,37,1
4/3/2020,490,15,Alameda,1,443,12,47,3
4/4/2020,631,12,Alameda,1,537,12,94,0
4/5/2020,595,12,Alameda,1,566,12,29,0
4/6/2020,610,14,Alameda,1,588,13,22,1
4/7/2020,680,17,Alameda,1,634,15,46,2
4/8/2020,714,17,Alameda,1,674,16,40,1
4/9/2020,756,18,Alameda,1,715,17,41,1
4/10/2020,821,23,Alameda,1,768,20,53,3
4/11/2020,848,22,Alameda,1,808,21,40,1
4/12/2020,882,25,Alameda,1,845,23,37,2
4/13/2020,931,23,Alameda,1,888,23,43,0
4/14/2020,886,23,Alameda,1,887,23,-1,0
4/15/2020,1041,49,Alameda,1,964,36,77,13
4/16/2020,1054,42,Alameda,1,1009,39,45,3
4/17/2020,1117,41,Alameda,1,1063,40,54,1
4/18/2020,1165,42,Alameda,1,1114,41,51,1
4/19/2020,1214,43,Alameda,1,1164,42,50,1
4/20/2020,1222,42,Alameda,1,1193,42,29,0
3/30/2020,1,0,Alpine,3,1,0,,
3/31/2020,1,0,Alpine,3,1,0,0,0
4/1/2020,1,0,Alpine,3,1,0,0,0
4/2/2020,1,0,Alpine,3,1,0,0,0
4/3/2020,1,0,Alpine,3,1,0,0,0
4/4/2020,1,0,Alpine,3,1,0,0,0
4/5/2020,1,0,Alpine,3,1,0,0,0
4/6/2020,1,0,Alpine,3,1,0,0,0
4/7/2020,1,0,Alpine,3,1,0,0,0
4/8/2020,1,0,Alpine,3,1,0,0,0
4/9/2020,1,0,Alpine,3,1,0,0,0
4/10/2020,1,0,Alpine,3,1,0,0,0
4/11/2020,1,0,Alpine,3,1,0,0,0
4/12/2020,1,0,Alpine,3,1,0,0,0
4/13/2020,1,0,Alpine,3,1,0,0,0
4/14/2020,1,0,Alpine,3,1,0,0,0
4/15/2020,1,0,Alpine,3,1,0,0,0
